set1/g1.rud,800,19176,11025,11297,11106,163,11358,50,20.406411420,randomised,0.340932,37.6583
set1/g1.rud,800,19176,11025,11297,11106,74,11394,50,9.2848311463,simple_greedy,0.345571,26.9448
set1/g1.rud,800,19176,11025,11297,11106,124,11375,50,15.480511462,semi-greedy,0.350347,32.736
set1/g2.rud,800,19176,11009,11236,11113,162,11367,50,20.190311461,randomised,0.338286,37.2278
set1/g2.rud,800,19176,11009,11236,11113,74,11405,50,9.2648811474,simple_greedy,0.339561,27.26
set1/g2.rud,800,19176,11009,11236,11113,118,11369,50,14.982811459,semi-greedy,0.362508,32.6413
set1/g3.rud,800,19176,11035,11276,11107,160,11353,50,20.38511414,randomised,0.349906,37.9028
set1/g3.rud,800,19176,11035,11276,11107,69,11395,50,8.8211211474,simple_greedy,0.350153,27.0438
set1/g3.rud,800,19176,11035,11276,11107,123,11374,50,15.74111463,semi-greedy,0.365004,33.5289
set1/g4.rud,800,19176,11037,11272,11132,171,11383,50,21.910511489,randomised,0.348136,39.4134
set1/g4.rud,800,19176,11037,11272,11132,74,11405,50,9.6168511472,simple_greedy,0.346907,27.9139
set1/g4.rud,800,19176,11037,11272,11132,125,11391,50,16.054711522,semi-greedy,0.368778,33.7159
set1/g5.rud,800,19176,11007,11285,11088,165,11355,50,21.116511462,randomised,0.347557,38.9575
set1/g5.rud,800,19176,11007,11285,11088,72,11414,50,9.4276411490,simple_greedy,0.347035,28.1743
set1/g5.rud,800,19176,11007,11285,11088,124,11382,50,15.926811480,semi-greedy,0.381455,33.8418
set1/g6.rud,800,19176,1532,1738,1577,175,1906,50,22.3991975,randomised,0.345164,39.7677
set1/g6.rud,800,19176,1532,1738,1577,84,1936,50,10.83062009,simple_greedy,0.348731,28.8441
set1/g6.rud,800,19176,1532,1738,1577,149,1913,50,19.14252000,semi-greedy,0.350699,36.7388
set1/g7.rud,800,19176,1376,1573,1415,173,1743,50,22.44951807,randomised,0.348119,40.1712
set1/g7.rud,800,19176,1376,1573,1415,94,1781,50,12.56411856,simple_greedy,0.349789,31.1736
set1/g7.rud,800,19176,1376,1573,1415,145,1740,50,19.0891823,semi-greedy,0.363649,36.9916
set1/g8.rud,800,19176,1379,1580,1456,180,1756,50,23.34521846,randomised,0.346694,40.9956
set1/g8.rud,800,19176,1379,1580,1456,84,1771,50,10.86711859,simple_greedy,0.346939,29.0507
set1/g8.rud,800,19176,1379,1580,1456,146,1751,50,18.8181858,semi-greedy,0.368647,36.339
set1/g9.rud,800,19176,1420,1634,1497,169,1780,50,21.53281877,randomised,0.342527,38.9021
set1/g9.rud,800,19176,1420,1634,1497,88,1823,50,11.27251901,simple_greedy,0.342912,29.1071
set1/g9.rud,800,19176,1420,1634,1497,154,1799,50,19.64451886,semi-greedy,0.350303,37.2086
set1/g10.rud,800,19176,1353,1630,1425,176,1739,50,22.23351810,randomised,0.346316,39.4073
set1/g10.rud,800,19176,1353,1630,1425,86,1765,50,11.03431834,simple_greedy,0.342303,28.9453
set1/g10.rud,800,19176,1353,1630,1425,145,1738,50,18.2061819,semi-greedy,0.349839,35.4366
set1/g11.rud,800,1600,409,464,423,16,441,50,2.09339462,randomised,0.337331,19.1437
set1/g11.rud,800,1600,409,464,423,6,484,50,0.795912502,simple_greedy,0.339956,18.1501
set1/g11.rud,800,1600,409,464,423,13,455,50,1.77305494,semi-greedy,0.338189,19.0803
set1/g12.rud,800,1600,397,448,413,16,428,50,2.08673454,randomised,0.342209,19.1419
set1/g12.rud,800,1600,397,448,413,5,473,50,0.719038492,simple_greedy,0.339951,18.0039
set1/g12.rud,800,1600,397,448,413,14,439,50,1.84636476,semi-greedy,0.338774,19.1331
set1/g13.rud,800,1600,418,474,428,19,456,50,2.41877476,randomised,0.344082,19.2664
set1/g13.rud,800,1600,418,474,428,6,498,50,0.882435518,simple_greedy,0.342419,18.3737
set1/g13.rud,800,1600,418,474,428,15,467,50,2.00599508,semi-greedy,0.342278,19.4596
set1/g14.rud,800,4694,2865,2943,2933,49,2936,50,6.251552957,randomised,0.345298,23.6136
set1/g14.rud,800,4694,2865,2943,2933,21,2971,50,2.70112992,simple_greedy,0.346215,20.5189
set1/g14.rud,800,4694,2865,2943,2933,25,2965,50,3.258552984,semi-greedy,0.350759,20.8154
set1/g15.rud,800,4661,2845,2915,2913,50,2919,50,6.418452942,randomised,0.346751,23.8484
set1/g15.rud,800,4661,2845,2915,2913,21,2947,50,2.762982962,simple_greedy,0.358931,20.7849
set1/g15.rud,800,4661,2845,2915,2913,25,2946,50,3.312969,semi-greedy,0.35819,20.8205
set1/g16.rud,800,4672,2854,2940,2917,49,2922,50,6.260322956,randomised,0.344789,23.4079
set1/g16.rud,800,4672,2854,2940,2917,23,2954,50,2.930872980,simple_greedy,0.347474,20.887
set1/g16.rud,800,4672,2854,2940,2917,26,2949,50,3.32112977,semi-greedy,0.349518,20.9131
set1/g17.rud,800,4667,2854,2932,2907,51,2919,50,6.621582953,randomised,0.350084,24.1798
set1/g17.rud,800,4667,2854,2932,2907,23,2949,50,3.098392963,simple_greedy,0.348029,21.2772
set1/g17.rud,800,4667,2854,2932,2907,26,2949,50,3.529182971,semi-greedy,0.362047,21.1922
set1/g18.rud,800,4694,694,839,721,78,831,50,9.99632866,randomised,0.346967,27.3537
set1/g18.rud,800,4694,694,839,721,31,881,50,4.03893919,simple_greedy,0.346247,22.1407
set1/g18.rud,800,4694,694,839,721,65,845,50,8.47923901,semi-greedy,0.356517,25.9711
