,Problem,,,Constructive Algorithm,,Local Search,,,GRASP,
Input Filename,|V|,|E|,randomised,simple_greedy,semi-greedy,Iterations,Best Value,Iterations,Best Value,Constructive Algorithm
set1/g25.rud,2000,19990,12368,12807,12629,254,12820,50,12915,randomised
set1/g25.rud,2000,19990,12368,12807,12629,93,12950,50,13033,simple_greedy
set1/g25.rud,2000,19990,12368,12807,12629,175,12885,50,12991,semi-greedy
set1/g26.rud,2000,19990,12347,12790,12609,255,12811,50,12930,randomised
set1/g26.rud,2000,19990,12347,12790,12609,97,12945,50,13030,simple_greedy
set1/g26.rud,2000,19990,12347,12790,12609,175,12883,50,13006,semi-greedy
set1/g27.rud,2000,19990,2302,2594,2405,270,2811,50,2912,randomised
set1/g27.rud,2000,19990,2302,2594,2405,126,2907,50,2975,simple_greedy
set1/g27.rud,2000,19990,2302,2594,2405,236,2834,50,2958,semi-greedy
set1/g28.rud,2000,19990,2298,2673,2394,276,2784,50,2897,randomised
set1/g28.rud,2000,19990,2298,2673,2394,127,2871,50,2985,simple_greedy
set1/g28.rud,2000,19990,2298,2673,2394,231,2801,50,2893,semi-greedy
set1/g29.rud,2000,19990,2352,2769,2499,270,2868,50,2994,randomised
set1/g29.rud,2000,19990,2352,2769,2499,134,2963,50,3032,simple_greedy
set1/g29.rud,2000,19990,2352,2769,2499,236,2898,50,3026,semi-greedy
set1/g30.rud,2000,19990,2384,2785,2489,265,2864,50,2981,randomised
set1/g30.rud,2000,19990,2384,2785,2489,125,2967,50,3053,simple_greedy
set1/g30.rud,2000,19990,2384,2785,2489,234,2888,50,3003,semi-greedy
set1/g31.rud,2000,19990,2280,2606,2384,274,2777,50,2889,randomised
set1/g31.rud,2000,19990,2280,2606,2384,133,2885,50,2961,simple_greedy
set1/g31.rud,2000,19990,2280,2606,2384,230,2818,50,2948,semi-greedy
set1/g32.rud,2000,4000,1021,1192,1058,41,1099,50,1152,randomised
set1/g32.rud,2000,4000,1021,1192,1058,13,1209,50,1242,simple_greedy
set1/g32.rud,2000,4000,1021,1192,1058,33,1120,50,1216,semi-greedy
set1/g33.rud,2000,4000,977,1152,1021,43,1068,50,1102,randomised
set1/g33.rud,2000,4000,977,1152,1021,12,1196,50,1226,simple_greedy
set1/g33.rud,2000,4000,977,1152,1021,36,1092,50,1192,semi-greedy
set1/g34.rud,2000,4000,974,1148,1032,45,1066,50,1106,randomised
set1/g34.rud,2000,4000,974,1148,1032,12,1194,50,1218,simple_greedy
set1/g34.rud,2000,4000,974,1148,1032,36,1083,50,1226,semi-greedy
set1/g35.rud,2000,11778,7185,7377,7355,126,7358,50,7392,randomised
set1/g35.rud,2000,11778,7185,7377,7355,53,7446,50,7478,simple_greedy
set1/g35.rud,2000,11778,7185,7377,7355,64,7434,50,7471,semi-greedy
set1/g36.rud,2000,11766,7166,7359,7355,124,7354,50,7400,randomised
set1/g36.rud,2000,11766,7166,7359,7355,54,7438,50,7476,simple_greedy
set1/g36.rud,2000,11766,7166,7359,7355,62,7429,50,7486,semi-greedy
set1/g37.rud,2000,11785,7190,7378,7365,127,7364,50,7409,randomised
set1/g37.rud,2000,11785,7190,7378,7365,53,7447,50,7482,simple_greedy
set1/g37.rud,2000,11785,7190,7378,7365,63,7439,50,7478,semi-greedy
set1/g38.rud,2000,11779,7181,7375,7366,129,7355,50,7382,randomised
set1/g38.rud,2000,11779,7181,7375,7366,53,7445,50,7479,simple_greedy
set1/g38.rud,2000,11779,7181,7375,7366,66,7434,50,7471,semi-greedy
set1/g39.rud,2000,11778,1677,2095,1745,196,2014,50,2065,randomised
set1/g39.rud,2000,11778,1677,2095,1745,75,2131,50,2180,simple_greedy
set1/g39.rud,2000,11778,1677,2095,1745,177,2029,50,2151,semi-greedy
set1/g40.rud,2000,11766,1640,1978,1714,201,1979,50,2063,randomised
set1/g40.rud,2000,11766,1640,1978,1714,76,2118,50,2199,simple_greedy
set1/g40.rud,2000,11766,1640,1978,1714,174,2005,50,2118,semi-greedy
set1/g41.rud,2000,11785,1661,1996,1731,192,1994,50,2098,randomised
set1/g41.rud,2000,11785,1661,1996,1731,74,2119,50,2156,simple_greedy
set1/g41.rud,2000,11785,1661,1996,1731,169,2020,50,2146,semi-greedy
set1/g42.rud,2000,11779,1730,2120,1799,195,2075,50,2158,randomised
set1/g42.rud,2000,11779,1730,2120,1799,77,2199,50,2255,simple_greedy
set1/g42.rud,2000,11779,1730,2120,1799,174,2093,50,2214,semi-greedy
set1/g43.rud,1000,9990,6179,6422,6316,128,6396,50,6476,randomised
set1/g43.rud,1000,9990,6179,6422,6316,50,6459,50,6508,simple_greedy
set1/g43.rud,1000,9990,6179,6422,6316,82,6435,50,6498,semi-greedy
set1/g44.rud,1000,9990,6174,6373,6319,123,6390,50,6450,randomised
set1/g44.rud,1000,9990,6174,6373,6319,50,6461,50,6530,simple_greedy
set1/g44.rud,1000,9990,6174,6373,6319,80,6433,50,6505,semi-greedy
set1/g45.rud,1000,9990,6162,6416,6312,123,6395,50,6465,randomised
set1/g45.rud,1000,9990,6162,6416,6312,50,6463,50,6535,simple_greedy
set1/g45.rud,1000,9990,6162,6416,6312,81,6437,50,6498,semi-greedy
set1/g46.rud,1000,9990,6170,6392,6336,128,6399,50,6464,randomised
set1/g46.rud,1000,9990,6170,6392,6336,48,6462,50,6508,simple_greedy
set1/g46.rud,1000,9990,6170,6392,6336,77,6437,50,6497,semi-greedy
set1/g47.rud,1000,9990,6184,6395,6336,123,6397,50,6470,randomised
set1/g47.rud,1000,9990,6184,6395,6336,50,6465,50,6519,simple_greedy
set1/g47.rud,1000,9990,6184,6395,6336,79,6437,50,6495,semi-greedy
set1/g48.rud,3000,6000,4913,6000,6000,74,5084,50,5178,randomised
set1/g48.rud,3000,6000,4913,6000,6000,1,5993,50,6000,simple_greedy
set1/g48.rud,3000,6000,4913,6000,6000,1,5984,50,6000,semi-greedy
set1/g49.rud,3000,6000,4891,6000,6000,75,5068,50,5126,randomised
set1/g49.rud,3000,6000,4891,6000,6000,1,5994,50,6000,simple_greedy
set1/g49.rud,3000,6000,4891,6000,6000,1,5988,50,6000,semi-greedy
set1/g50.rud,3000,6000,4918,5874,5843,76,5080,50,5182,randomised
set1/g50.rud,3000,6000,4918,5874,5843,1,5871,50,5878,simple_greedy
set1/g50.rud,3000,6000,4918,5874,5843,2,5846,50,5876,semi-greedy
set1/g51.rud,1000,5909,3588,3709,3685,62,3688,50,3712,randomised
set1/g51.rud,1000,5909,3588,3709,3685,28,3729,50,3754,simple_greedy
set1/g51.rud,1000,5909,3588,3709,3685,33,3726,50,3756,semi-greedy
set1/g52.rud,1000,5916,3610,3711,3691,63,3693,50,3722,randomised
set1/g52.rud,1000,5916,3610,3711,3691,27,3735,50,3755,simple_greedy
set1/g52.rud,1000,5916,3610,3711,3691,32,3731,50,3757,semi-greedy
set1/g53.rud,1000,5914,3599,3704,3694,63,3689,50,3709,randomised
set1/g53.rud,1000,5914,3599,3704,3694,27,3732,50,3756,simple_greedy
set1/g53.rud,1000,5914,3599,3704,3694,32,3724,50,3755,semi-greedy
set1/g54.rud,1000,5916,3608,3683,3688,60,3692,50,3728,randomised
set1/g54.rud,1000,5916,3608,3683,3688,27,3731,50,3752,simple_greedy
set1/g54.rud,1000,5916,3608,3683,3688,32,3727,50,3755,semi-greedy
